Id_Investment,y,x,Year,Country,Investor,Investor_2,Vector,Path,Area_EN,Area_ES,Detail_EN,Detail_ES,Investment,Location,Project_Type,Greenfield,Acquisition,Joint_Venture,Construction,Origin of seller,Stake,Research,Caso1,Link1,Caso2,Link2,Caso3,Link3,source 1 ,source 2,source 3,source 4,,,,,,,
003100,6.03510750399999, -74.499871655,2006,Colombia,Sinopec,,1,0,energy,energía,Omimex (50% stake) with ONGC-OVL,Omimex (50% participacion) con ONGC-OVL,850,Boyacá,Acquisition,0,1,0,,USA,50,,,,,,,,https://www.khaleejtimes.com/business/chinas-sinopec-indias-ongc-take-omimex-stake,https://www.hartenergy.com/exclusives/sinopec-and-ongc-videsh-close-omimex-de-colombia-acquisition-8534,https://www.ft.com/content/9ba2d5d4-2bb4-11db-a7e1-0000779e2340,,,,,,,,
003100,6.051685496, -74.505907573,2006,Colombia,Sinopec,,1,0,energy,energía,Omimex (50% stake) with ONGC-OVL,Omimex (50% participacion) con ONGC-OVL,850,Boyacá,Acquisition,0,1,0,,USA,50,,,,,,,,https://www.khaleejtimes.com/business/chinas-sinopec-indias-ongc-take-omimex-stake,https://www.hartenergy.com/exclusives/sinopec-and-ongc-videsh-close-omimex-de-colombia-acquisition-8534,https://www.ft.com/content/9ba2d5d4-2bb4-11db-a7e1-0000779e2340,,,,,,,,
004100,4.7160351983866,-74.0529213437599,2007,Colombia,Ample Auto,,1,0,manufacturing ,manufacturas,Sales office,Oficina de ventas,2,"Bogotá, Distrito Capital",Greenfield,1,0,0,,,,,,,,,,,https://www.eltiempo.com/archivo/documento/CMS-3256777,,,,,,,,,,
005100,4.6760686531109386, -74.05669795735061,2009,Colombia,Shandong Kerui ,,1,0,manufacturing ,manufacturas,establishing Kerui Colombia,estableciendo Kerui Colombia,878,"Bogotá, Distrito Capital",Greenfield,1,0,0,,,,,,,,,,,https://www.datacreditoempresas.com.co/directorio/shandong-kerui-petroleum-equipment-co-ltd.html,https://www.emis.com/php/company-profile/CO/Shandong_Kerui_Petroleum_Equipment_Co_Ltd_es_3405939.html,Dussels Peters,,,,,,,,
006100,2.27672879499998, -75.555398958,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
006100,2.27207665200001, -75.558358303,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
006100,2.28400883400003, -75.555799018,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
006100,2.27198970400002, -75.558294181,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
006100,2.27229492200002, -75.558196757,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
006100,2.27672879499998, -75.555398958,2009,Colombia,Sinochem,,1,0,energy,energía,Underground hydrocarbon exploration by Emerald Energy,Exploración subterránea de hidrocarburos a través de Emerald Energy,188,Huila,Acquisition,0,1,0,,UK,,,,,,,,,https://www.corpwatch.org/article/emerald-energy-exploits-colombian-andes,Dussels Peters,,,,,,,,,
